[2982, 585018] [15218, 565991]
[655080, 574030] [637902, 534957]
[637015, 534937] [624999, 537295]
[624129, 537001] [604989, 503966]
[604965, 503028] [607043, 483994]
[607001, 483056] [577981, 474994]
[577020, 474879] [565948, 487012]
[565003, 487016] [557998, 476974]
[557006, 476985] [548945, 483043]
[557031, 476016] [535981, 450937]
[535994, 450020] [549033, 437946]
[607999, 483561] [648004, 483322]
[648984, 483828] [668000, 484115]
[668998, 484990] [687007, 529003]
[717905, 696055] [763012, 668966]
[763002, 668011] [762813, 655981]
[762053, 655066] [745994, 649890]
[762977, 655029] [775163, 608996]
[775719, 608016] [777237, 573999]
[777022, 573009] [771796, 538997]
[771030, 538001] [754994, 511838]
[775995, 608911] [818005, 610558]
[818983, 610049] [824074, 601980]
[824973, 601991] [844036, 609158]
[844840, 609980] [853007, 629013]
[771970, 538058] [813069, 514967]
[813884, 514032] [823140, 485959]
[823996, 485151] [851003, 484997]
[823836, 485007] [827159, 436999]
[827018, 436065] [807995, 421826]
[827969, 436052] [850005, 398978]
[850056, 398000] [831958, 369996]
[831941, 369015] [835025, 356981]
[850952, 398996] [875090, 433026]
[850989, 398112] [892039, 389840]
[892687, 389004] [893082, 353997]
[893997, 353929] [923013, 359131]
[923998, 359118] [964012, 342946]
[964994, 342006] [976056, 329990]
[976800, 329005] [977505, 306995]
[977888, 306035] [986055, 290979]
[964974, 342991] [966058, 376007]
[966932, 376933] [993016, 384045]
[977003, 306525] [931994, 308123]
[931009, 308351] [907999, 307911]
[75059, 712982] [43998, 758060]
[43005, 758093] [21998, 745915]
[21033, 745956] [10939, 757010]
[10983, 757987] [11125, 771007]
[43972, 758929] [73063, 788020]
[907046, 307061] [878986, 259999]
[668427, 484009] [670313, 428991]
[853967, 629946] [896000, 667008]
[896942, 667926] [903193, 676002]
[896977, 667010] [911013, 635951]
[911990, 635856] [943019, 637274]
[896018, 667971] [861917, 688016]
[911194, 635002] [900693, 591995]
[861941, 688981] [890017, 729017]
[890996, 729255] [941004, 724710]
[941994, 724042] [956201, 689998]
[956988, 689812] [989067, 702011]
[900971, 591035] [929024, 541997]
[929990, 541581] [951005, 541444]
[951997, 541152] [975012, 539915]
[975001, 539020] [959863, 493968]
[959996, 493027] [961015, 491883]
[961649, 491010] [962275, 464982]
[962023, 464059] [935999, 451909]
[935928, 451039] [944029, 439972]
[851844, 484986] [865018, 540009]
[205993, 783995] [235008, 833062]
[235180, 833987] [230983, 841046]
[235974, 833067] [270010, 829866]
[270988, 829235] [281000, 827840]
[281919, 827999] [291021, 836023]
[291035, 836983] [287966, 847037]
[287948, 847844] [296042, 855042]
[296952, 855976] [318004, 870022]
[318978, 870235] [333027, 867974]
[333991, 867873] [362011, 886034]
[230992, 841935] [253088, 868062]
[230001, 841753] [190998, 842324]
[362998, 886943] [402006, 923161]
[402930, 923993] [418020, 938120]
[418902, 938996] [422004, 946025]
[703001, 811936] [679926, 864066]
[679976, 864939] [718024, 895082]
[718990, 895093] [728037, 893771]
[718086, 895999] [704915, 930015]
[704976, 930974] [722008, 938014]
[704000, 930999] [675997, 938180]
[675920, 938970] [681235, 964009]
[681016, 964871] [654996, 972093]
[654003, 972977] [646997, 982004]
[675002, 938010] [643931, 909940]
[643004, 909916] [619991, 913014]
[619029, 913004] [611986, 877994]
[482824, 355014] [487048, 297977]
[487696, 297005] [488235, 282997]
[488954, 282082] [515019, 269947]
[488021, 282939] [457975, 287174]
[515996, 269930] [538100, 292073]
[515052, 269014] [489842, 240934]
[489004, 240032] [461973, 234899]
[461057, 234032] [448789, 200988]
[448131, 200017] [413908, 168972]
[413039, 168146] [372988, 159850]
[372003, 159032] [350975, 150979]
[372031, 159928] [348900, 199017]
[348023, 199975] [317973, 213100]
[807001, 421977] [752986, 443042]
[728959, 893004] [756055, 840882]
[756988, 840903] [801010, 850095]
[801933, 850980] [815008, 888023]
[815042, 888914] [787987, 905015]
[787862, 905988] [790028, 924008]
[801976, 850095] [826002, 816896]
[790954, 924987] [832017, 932025]
[832967, 932988] [866009, 949029]
[866991, 949006] [869495, 912996]
[826990, 816967] [855077, 855009]
[866954, 949990] [881027, 998065]
[752437, 443002] [753056, 383996]
[753002, 383143] [706997, 363968]
[73088, 788979] [67897, 848021]
[67000, 848951] [37939, 859106]
[37015, 859993] [35833, 894014]
[35990, 894987] [64006, 900113]
[64914, 900018] [71019, 885996]
[64102, 900978] [60904, 926017]
[60005, 926961] [40994, 942113]
[40028, 942183] [17999, 932898]
[40046, 942914] [23965, 972037]
[37015, 859993] [3987, 869042]
[60998, 926959] [82030, 954040]
[82989, 954559] [84002, 954540]
[23981, 972941] [53017, 999038]
[71979, 885986] [110029, 898040]
[110946, 898025] [113097, 887988]
[84973, 954092] [124019, 941848]
[350999, 150037] [375156, 93992]
[375001, 93107] [347999, 88997]
[347052, 88004] [330945, 39991]
[330016, 39138] [316971, 35991]
[330974, 39021] [365022, 7967]
[365977, 7991] [374052, 20041]
[316037, 35992] [272998, 55083]
[272778, 55995] [286052, 105033]
[286991, 105969] [288007, 106141]
[619009, 913995] [559961, 932062]
[559056, 932009] [543958, 924979]
[543017, 924990] [532965, 963037]
[532024, 963109] [508983, 961979]
[508061, 961911] [498974, 970016]
[526990, 357187] [588039, 342909]
[588989, 342946] [602040, 350115]
[602970, 350066] [626027, 323915]
[626972, 323047] [658077, 302907]
[658985, 302016] [667008, 299906]
[835017, 356015] [798969, 303940]
[798962, 303030] [806001, 268991]
[806003, 268143] [786998, 263919]
[786026, 263772] [773983, 270064]
[773156, 270003] [769939, 262997]
[769014, 262012] [737997, 261821]
[737020, 261040] [708985, 248934]
[708010, 248127] [674997, 220950]
[674940, 220008] [721071, 189933]
[721953, 189004] [741060, 175975]
[741947, 175973] [750056, 205013]
[750978, 205087] [778012, 200674]
[741029, 175019] [736997, 141965]
[736008, 141807] [705997, 145003]
[705000, 145021] [685982, 90870]
[685977, 90013] [686594, 80997]
[685014, 90077] [666979, 87909]
[686960, 80026] [725014, 31991]
[725886, 31989] [748075, 67004]
[748947, 67970] [800017, 87205]
[800871, 87996] [802063, 99021]
[802984, 99858] [833014, 115020]
[833947, 115006] [882045, 86963]
[882980, 86969] [901030, 103044]
[901956, 103016] [913181, 75981]
[913994, 75092] [924017, 72937]
[924997, 72857] [948009, 72747]
[948993, 72659] [974008, 71912]
[901783, 103971] [902138, 153004]
[666014, 87029] [608979, 60968]
[608014, 60986] [601952, 77000]
[608024, 60021] [595977, 41970]
[595010, 41802] [585988, 41793]
[595981, 41004] [596049, 21994]
[832165, 932993] [814813, 994008]
[448959, 200014] [481024, 144970]
[481994, 144142] [492009, 142685]
[492936, 142973] [518026, 177040]
[518956, 177999] [556003, 216047]
[556952, 216982] [600041, 249021]
[272060, 55033] [224943, 8950]
[224002, 8990] [168967, 18012]
[168955, 18953] [185078, 53010]
[185999, 53924] [200007, 80037]
[185028, 53924] [145994, 60163]
[145948, 60982] [152046, 87006]
[152930, 87990] [164006, 109009]
[164019, 109898] [148953, 124054]
[152015, 87031] [118994, 82946]
[148002, 124959] [119997, 152043]
[119940, 152989] [129029, 161066]
[129039, 161978] [107998, 191017]
[107984, 191987] [117076, 215028]
[117090, 215996] [116089, 249007]
[116012, 249061] [98994, 247831]
[107028, 191101] [61999, 181944]
[61015, 181055] [38994, 179999]
[38980, 179007] [50116, 155985]
[38008, 179008] [9945, 157852]
[9942, 157004] [19000, 125985]
[19010, 125077] [6973, 101981]
[6998, 101086] [27050, 84968]
[27925, 84002] [31193, 52990]
[145026, 60078] [109993, 28987]
[200910, 80993] [223000, 142004]
[223081, 142995] [193986, 195046]
[193969, 195979] [196247, 222014]
[196091, 222993] [182997, 285032]
[182979, 285975] [186019, 313005]
[186007, 313933] [170997, 315404]
[182979, 285975] [212007, 288065]
[212975, 288110] [222009, 286865]
[186612, 313998] [187104, 360013]
[902998, 153976] [958042, 191050]
[958968, 191011] [996003, 152931]
[996033, 152032] [990983, 145986]
[855994, 855062] [912126, 808976]
[912955, 808926] [936061, 838053]
[936990, 838970] [940040, 851008]
[940980, 851078] [949118, 843978]
[940165, 851993] [937792, 869007]
[937860, 869987] [954074, 888024]
[954034, 888996] [945995, 909031]
[954911, 888004] [971074, 864987]
[945997, 909949] [995086, 942017]
[88187, 426021] [72942, 350979]
[72013, 350078] [54989, 345968]
[72990, 350004] [93021, 343972]
[54053, 345020] [30925, 326999]
[30000, 326965] [7993, 337067]
[30000, 326030] [8997, 262999]
[318018, 870990] [289986, 944016]
[289098, 944996] [279976, 996034]
[585013, 41007] [506997, 30905]
[506000, 30162] [474992, 22881]
[124930, 941990] [192092, 985050]
